outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
9.800000000000000000e+01,4.499031181278220259e+01,4.843055555555555447e-01,2.636805555555555292e-01,3.477777777777777968e-01
9.900000000000000000e+01,4.481391523253220299e+01,4.820138888888889084e-01,2.637499999999999845e-01,3.458333333333333259e-01
1.000000000000000000e+02,4.471686496852938575e+01,4.810416666666666452e-01,2.639583333333333504e-01,3.450694444444444287e-01
1.010000000000000000e+02,4.455352740689176727e+01,4.798611111111111271e-01,2.636111111111111294e-01,3.434722222222222343e-01
1.020000000000000000e+02,4.445758376596879202e+01,4.793055555555555403e-01,2.632638888888889084e-01,3.428472222222222476e-01
1.030000000000000000e+02,4.431792471055833715e+01,4.782638888888888773e-01,2.631249999999999978e-01,3.418749999999999845e-01
1.040000000000000000e+02,4.423983671710687560e+01,4.776388888888888906e-01,2.635416666666666741e-01,3.412499999999999978e-01
1.050000000000000000e+02,4.407595557277866760e+01,4.765277777777777724e-01,2.639583333333333504e-01,3.405555555555555558e-01
1.060000000000000000e+02,4.394784829847101548e+01,4.749999999999999778e-01,2.640277777777777501e-01,3.393749999999999822e-01
1.070000000000000000e+02,4.378871385202129574e+01,4.736111111111110938e-01,2.636111111111111294e-01,3.382638888888888640e-01
1.080000000000000000e+02,4.364841680210491148e+01,4.725694444444444309e-01,2.640277777777777501e-01,3.372916666666666563e-01
1.090000000000000000e+02,4.348714241197842512e+01,4.718749999999999889e-01,2.640972222222222054e-01,3.368055555555555802e-01
1.100000000000000000e+02,4.329491499324610260e+01,4.697916666666666630e-01,2.647222222222222476e-01,3.352777777777777857e-01
1.110000000000000000e+02,4.322572620374991459e+01,4.691666666666666763e-01,2.657638888888889106e-01,3.348611111111111094e-01
1.120000000000000000e+02,4.300414755830383484e+01,4.684027777777777790e-01,2.663888888888888973e-01,3.340972222222222121e-01
